===== VARIABLES DEL MODELO =====
Proceso=CAL | Operario=N/A | Trabajo=DKY18SG6E3GE69K0 | ID_tarea=934 | Tipo=IntVar | Nombre_ORtools=start_934 | Clave_diccionario=start_var | ID_ORTools=56
Proceso=CAL | Operario=N/A | Trabajo=DKY18SG6E3GE69K0 | ID_tarea=934 | Tipo=IntVar | Nombre_ORtools=end_934 | Clave_diccionario=end_var | ID_ORTools=57
Proceso=LAV | Operario=N/A | Trabajo=385PNUK3OOC2WO46 | ID_tarea=935 | Tipo=IntVar | Nombre_ORtools=start_935 | Clave_diccionario=start_var | ID_ORTools=60
Proceso=LAV | Operario=N/A | Trabajo=385PNUK3OOC2WO46 | ID_tarea=935 | Tipo=IntVar | Nombre_ORtools=end_935 | Clave_diccionario=end_var | ID_ORTools=61
Proceso=PIN | Operario=N/A | Trabajo=385PNUK3OOC2WO46 | ID_tarea=936 | Tipo=IntVar | Nombre_ORtools=start_936 | Clave_diccionario=start_var | ID_ORTools=64
Proceso=PIN | Operario=N/A | Trabajo=385PNUK3OOC2WO46 | ID_tarea=936 | Tipo=IntVar | Nombre_ORtools=end_936 | Clave_diccionario=end_var | ID_ORTools=65
Proceso=CAL | Operario=N/A | Trabajo=385PNUK3OOC2WO46 | ID_tarea=937 | Tipo=IntVar | Nombre_ORtools=start_937 | Clave_diccionario=start_var | ID_ORTools=68
Proceso=CAL | Operario=N/A | Trabajo=385PNUK3OOC2WO46 | ID_tarea=937 | Tipo=IntVar | Nombre_ORtools=end_937 | Clave_diccionario=end_var | ID_ORTools=69
Proceso=ENS | Operario=N/A | Trabajo=9CH71A5BS1DU8JV6 | ID_tarea=938 | Tipo=IntVar | Nombre_ORtools=start_938 | Clave_diccionario=start_var | ID_ORTools=72
Proceso=ENS | Operario=N/A | Trabajo=9CH71A5BS1DU8JV6 | ID_tarea=938 | Tipo=IntVar | Nombre_ORtools=end_938 | Clave_diccionario=end_var | ID_ORTools=73
Proceso=TEL | Operario=N/A | Trabajo=9CH71A5BS1DU8JV6 | ID_tarea=939 | Tipo=IntVar | Nombre_ORtools=start_939 | Clave_diccionario=start_var | ID_ORTools=76
Proceso=TEL | Operario=N/A | Trabajo=9CH71A5BS1DU8JV6 | ID_tarea=939 | Tipo=IntVar | Nombre_ORtools=end_939 | Clave_diccionario=end_var | ID_ORTools=77
Proceso=PDI | Operario=N/A | Trabajo=9CH71A5BS1DU8JV6 | ID_tarea=940 | Tipo=IntVar | Nombre_ORtools=start_940 | Clave_diccionario=start_var | ID_ORTools=80
Proceso=PDI | Operario=N/A | Trabajo=9CH71A5BS1DU8JV6 | ID_tarea=940 | Tipo=IntVar | Nombre_ORtools=end_940 | Clave_diccionario=end_var | ID_ORTools=81
Proceso=LAV | Operario=N/A | Trabajo=9CH71A5BS1DU8JV6 | ID_tarea=941 | Tipo=IntVar | Nombre_ORtools=start_941 | Clave_diccionario=start_var | ID_ORTools=84
Proceso=LAV | Operario=N/A | Trabajo=9CH71A5BS1DU8JV6 | ID_tarea=941 | Tipo=IntVar | Nombre_ORtools=end_941 | Clave_diccionario=end_var | ID_ORTools=85
Proceso=PIN | Operario=N/A | Trabajo=9CH71A5BS1DU8JV6 | ID_tarea=942 | Tipo=IntVar | Nombre_ORtools=start_942 | Clave_diccionario=start_var | ID_ORTools=88
Proceso=PIN | Operario=N/A | Trabajo=9CH71A5BS1DU8JV6 | ID_tarea=942 | Tipo=IntVar | Nombre_ORtools=end_942 | Clave_diccionario=end_var | ID_ORTools=89
